title,price_gbp,availability,rating,product_url,source_page
A Light in the Attic,51.77,In stock,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1
Tipping the Velvet,53.74,In stock,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1
Soumission,50.1,In stock,1,https://books.toscrape.com/catalogue/soumission_998/index.html,1
Sharp Objects,47.82,In stock,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,1
Sapiens: A Brief History of Humankind,54.23,In stock,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1
The Requiem Red,22.65,In stock,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1
The Black Maria,52.15,In stock,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1
Shakespeare's Sonnets,20.66,In stock,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1
Set Me Free,17.46,In stock,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1
Rip it Up and Start Again,35.02,In stock,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1
Olio,23.88,In stock,1,https://books.toscrape.com/catalogue/olio_984/index.html,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1
Libertarianism for Beginners,51.33,In stock,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,1
It's Only the Himalayas,45.17,In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,1
In Her Wake,12.84,In stock,1,https://books.toscrape.com/in-her-wake_980/index.html,2
How Music Works,37.32,In stock,2,https://books.toscrape.com/how-music-works_979/index.html,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,3,https://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2
Chase Me (Paris Nights #2),25.27,In stock,5,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html,2
Black Dust,34.53,In stock,5,https://books.toscrape.com/black-dust_976/index.html,2
Birdsong: A Story in Pictures,54.64,In stock,3,https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,3,https://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2
Aladdin and His Wonderful Lamp,53.13,In stock,3,https://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html,2
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,In stock,5,https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2
Wall and Piece,44.18,In stock,4,https://books.toscrape.com/wall-and-piece_971/index.html,2
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,5,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,3,https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2
The Elephant Tree,23.82,In stock,5,https://books.toscrape.com/the-elephant-tree_968/index.html,2
The Bear and the Piano,36.89,In stock,1,https://books.toscrape.com/the-bear-and-the-piano_967/index.html,2
Sophie's World,15.94,In stock,5,https://books.toscrape.com/sophies-world_966/index.html,2
Penny Maybe,33.29,In stock,3,https://books.toscrape.com/penny-maybe_965/index.html,2
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2,https://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html,2
"In a Dark, Dark Wood",19.63,In stock,1,https://books.toscrape.com/in-a-dark-dark-wood_963/index.html,2
Behind Closed Doors,52.22,In stock,4,https://books.toscrape.com/behind-closed-doors_962/index.html,2
You can't bury them all: Poems,33.63,In stock,2,https://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html,2
Slow States of Collapse: Poems,57.31,In stock,3,https://books.toscrape.com/slow-states-of-collapse-poems_960/index.html,3
Reasons to Stay Alive,26.41,In stock,2,https://books.toscrape.com/reasons-to-stay-alive_959/index.html,3
Private Paris (Private #10),47.61,In stock,5,https://books.toscrape.com/private-paris-private-10_958/index.html,3
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,5,https://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,3
Without Borders (Wanderlove #1),45.07,In stock,2,https://books.toscrape.com/without-borders-wanderlove-1_956/index.html,3
When We Collided,31.77,In stock,1,https://books.toscrape.com/when-we-collided_955/index.html,3
"We Love You, Charlie Freeman",50.27,In stock,5,https://books.toscrape.com/we-love-you-charlie-freeman_954/index.html,3
Untitled Collection: Sabbath Poems 2014,14.27,In stock,4,https://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html,3
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,4,https://books.toscrape.com/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,3
Unicorn Tracks,18.78,In stock,3,https://books.toscrape.com/unicorn-tracks_951/index.html,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,1,https://books.toscrape.com/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,3
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,1,https://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,3,https://books.toscrape.com/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,3
This One Summer,19.49,In stock,4,https://books.toscrape.com/this-one-summer_947/index.html,3
